c*100,density,mol_fraction*100,viscosity,acid
3.010,0.99739,7.92,1.0015,formic
3.898,0.99749,7.01,1.0019,formic
5.037,0.99762,6.22,1.0024,formic
9.741,0.99817,4.56,1.0044,formic
20.10,0.99937,3.24,1.0073,formic
30.27,1.00054,2.67,1.0108,formic
40.06,1.00167,2.34,1.0140,formic
51.16,1.00293,2.09,1.0181,formic
60.41,1.00398,1.93,1.0203,formic
66.14,1.00463,1.85,1.0222,formic
70.40,1.00511,1.80,1.0249,formic
79.53,1.00614,1.69,1.0274,formic
91.08,1.00743,1.60,1.0304,formic
100.3,1.00845,1.53,1.0332,formic
9.947,0.99786,1.38,1.0113,acetic 
20.10,0.99870,0.98,1.0229,acetic
29.62,0.99948,0.81,1.0341,acetic
39.79,1.00032,0.70,1.0460,acetic
49.13,1.00109,0.63,1.0571,acetic
60.24,1.00200,0.57,1.0705,acetic
73.02,1.00304,0.52,1.0849,acetic
81.71,1.00375,0.50,1.0948,acetic
91.44,1.00454,0.47,1.1065,acetic
95.94,1.00490,0.46,1.1119,acetic
103.7,1.00553,0.44,1.1213,acetic
0.741,0.99706,4.25,1.0016,propionic 
1.008,0.99708,3.66,1.0021,propionic
1.910,0.99714,2.68,1.0039,propionic
3.001,0.99721,2.15,1.0059,propionic
4.029,0.99727,1.86,1.0079,propionic
5.021,0.99734,1.67,1.0098,propionic
5.849,0.99739,1.55,1.0114,propionic
7.315,0.99748,1.39,1.0133,propionic
9.372,0.99761,1.24,1.0174,propionic
20.28,0.99831,0.85,1.0383,propionic
29.47,0.99889,0.71,1.0563,propionic
39.89,0.99955,0.61,1.0776,propionic
50.17,1.00020,0.55,1.0992,propionic
60.11,1.00083,0.50,1.1182,propionic
70.18,1.00146,0.46,1.1390,propionic
79.93,1.00207,0.44,1.1591,propionic
89.98,1.00269,0.41,1.1801,propionic
104.3,1.00358,0.38,1.2099,propionic
0.799,0.99702,4.25,1.0033,valeric 
1.116,0.99703,3.62,1.0042,valeric
2.501,0.99706,2.44,1.0097,valeric
3.015,0.99708,2.23,1.0109,valeric
3.961,0.99710,1.95,1.0146,valeric
5.055,0.99712,1.73,1.0213,valeric
6.006,0.99715,1.59,1.0246,valeric
8.056,0.99719,1.38,1.0323,valeric
9.871,0.99723,1.25,1.0386,valeric
19.70,0.99744,0.89,1.0784,valeric
27.33,0.99757,0.76,1.1058,valeric
